Instancia;Tempo Medio;Melhor Solucao;Solucao Media;#1T;#1S;#2T;#2S;#3T;#3S;#4T;#4S;#5T;#5S;#6T;#6S;#7T;#7S;#8T;#8S;#9T;#9S;#10T;#10S;#11T;#11S;#12T;#12S;#13T;#13S;#14T;#14S;#15T;#15S;#16T;#16S;#17T;#17S;#18T;#18S;#19T;#19S;#20T;#20S;
SOM-a_44_n150_m15;512.0;2071.0;2069.7;504.0;2071.0;499.0;2071.0;527.0;2071.0;573.0;2071.0;484.0;2071.0;536.0;2071.0;501.0;2071.0;544.0;2071.0;518.0;2071.0;505.0;2071.0;502.0;2058.0;508.0;2071.0;521.0;2071.0;505.0;2071.0;514.0;2071.0;499.0;2071.0;495.0;2071.0;510.0;2071.0;492.0;2071.0;503.0;2058.0;
SOM-a_6_n25_m7;33.85;323.0;323.0;32.0;323.0;29.0;323.0;49.0;323.0;29.0;323.0;36.0;323.0;30.0;323.0;29.0;323.0;39.0;323.0;29.0;323.0;28.0;323.0;45.0;323.0;30.0;323.0;42.0;323.0;39.0;323.0;31.0;323.0;37.0;323.0;31.0;323.0;30.0;323.0;30.0;323.0;32.0;323.0;
SOM-a_8_n25_m7;30.4;299.0;299.0;33.0;299.0;31.0;299.0;30.0;299.0;31.0;299.0;30.0;299.0;27.0;299.0;29.0;299.0;30.0;299.0;35.0;299.0;32.0;299.0;31.0;299.0;29.0;299.0;30.0;299.0;29.0;299.0;28.0;299.0;28.0;299.0;33.0;299.0;29.0;299.0;33.0;299.0;30.0;299.0;
SOM-a_10_n25_m7;29.5;318.0;318.0;34.0;318.0;38.0;318.0;26.0;318.0;27.0;318.0;27.0;318.0;28.0;318.0;30.0;318.0;27.0;318.0;30.0;318.0;26.0;318.0;30.0;318.0;28.0;318.0;30.0;318.0;27.0;318.0;26.0;318.0;29.0;318.0;39.0;318.0;31.0;318.0;28.0;318.0;29.0;318.0;
SOM-a_45_n150_m15;601.7;1880.0;1871.8;584.0;1827.0;586.0;1880.0;592.0;1880.0;622.0;1880.0;577.0;1880.0;601.0;1880.0;616.0;1880.0;605.0;1880.0;618.0;1880.0;599.0;1880.0;600.0;1880.0;625.0;1880.0;605.0;1822.0;595.0;1880.0;593.0;1880.0;636.0;1880.0;582.0;1827.0;612.0;1880.0;604.0;1880.0;582.0;1880.0;
SOM-a_2_n25_m2;25.35;17.0;17.0;20.0;17.0;21.0;17.0;24.0;17.0;55.0;17.0;32.0;17.0;43.0;17.0;34.0;17.0;19.0;17.0;19.0;17.0;31.0;17.0;29.0;17.0;19.0;17.0;19.0;17.0;26.0;17.0;20.0;17.0;19.0;17.0;19.0;17.0;20.0;17.0;19.0;17.0;19.0;17.0;
SOM-a_4_n25_m2;22.6;28.0;28.0;20.0;28.0;19.0;28.0;18.0;28.0;19.0;28.0;19.0;28.0;19.0;28.0;35.0;28.0;18.0;28.0;19.0;28.0;25.0;28.0;30.0;28.0;30.0;28.0;20.0;28.0;21.0;28.0;20.0;28.0;20.0;28.0;29.0;28.0;20.0;28.0;19.0;28.0;32.0;28.0;
SOM-a_39_n125_m37;2029.95;7280.0;7245.5;2034.0;7280.0;2138.0;7280.0;2044.0;7280.0;2038.0;7280.0;1999.0;7280.0;1970.0;7280.0;2078.0;7280.0;2052.0;7280.0;2025.0;7050.0;2034.0;7050.0;2061.0;7280.0;2049.0;7280.0;2100.0;7280.0;2000.0;7050.0;1918.0;7280.0;2004.0;7280.0;1987.0;7280.0;2092.0;7280.0;1998.0;7280.0;1978.0;7280.0;
SOM-a_28_n100_m30;1054.0;5597.0;5596.6;1048.0;5597.0;1192.0;5597.0;1068.0;5597.0;1076.0;5597.0;1018.0;5597.0;1023.0;5597.0;1055.0;5597.0;1041.0;5597.0;1041.0;5597.0;1048.0;5597.0;1022.0;5597.0;1007.0;5589.0;1050.0;5597.0;1089.0;5597.0;1012.0;5597.0;1076.0;5597.0;1067.0;5597.0;1073.0;5597.0;1027.0;5597.0;1047.0;5597.0;
SOM-a_31_n125_m12;292.9;1288.0;1286.4;272.0;1288.0;288.0;1288.0;309.0;1288.0;338.0;1288.0;312.0;1288.0;294.0;1288.0;326.0;1288.0;272.0;1288.0;291.0;1288.0;312.0;1288.0;301.0;1288.0;273.0;1288.0;284.0;1288.0;322.0;1288.0;276.0;1272.0;282.0;1288.0;264.0;1288.0;296.0;1272.0;276.0;1288.0;270.0;1288.0;
SOM-a_40_n125_m37;2160.1;7601.0;7599.2;2120.0;7601.0;2484.0;7601.0;2115.0;7601.0;2149.0;7601.0;2166.0;7589.0;2097.0;7601.0;2203.0;7601.0;2155.0;7601.0;2153.0;7601.0;2118.0;7601.0;2151.0;7589.0;2180.0;7601.0;2144.0;7601.0;2114.0;7601.0;2090.0;7601.0;2149.0;7601.0;2142.0;7589.0;2205.0;7601.0;2128.0;7601.0;2139.0;7601.0;
